500
   12   60    5.5489
   12   80    5.5117
   12  100    5.4736
   12  120    5.4393
   12  140    5.4124
   12  160    5.3954
   24 -180    5.5503
   24 -160    5.5598
   24 -140    5.5882
   24 -120    5.6349
   24 -100    5.6974
   24  -80    5.7702
   24  -60    5.8446
   24  -40    5.9095
   24  -20    5.9539
   24    0    5.9697
   24   20    5.9539
   24   40    5.9095
   24   60    5.8446
   24   80    5.7702
   24  100    5.6974
   24  120    5.6349
   24  140    5.5882
   24  160    5.5598
   36 -180     5.963
   36 -160    5.9733
   36 -140    6.0058
   36 -120    6.0625
   36 -100    6.1439
   36  -80    6.2447
   36  -60    6.3529
   36  -40    6.4507
   36  -20    6.5192
   36    0    6.5438
   36   20    6.5192
   36   40    6.4507
   36   60    6.3529
   36   80    6.2447
   36  100    6.1439
   36  120    6.0625
   36  140    6.0058
   36  160    5.9733
   48 -180    6.7529
   48 -160    6.7607
   48 -140    6.7874
   48 -120    6.8412
   48 -100    6.9281
   48  -80    7.0462
   48  -60    7.1812
   48  -40    7.3083
   48  -20    7.3996
   48    0    7.4329
   48   20    7.3996
   48   40    7.3083
   48   60    7.1812
   48   80    7.0462
   48  100    6.9281
   48  120    6.8412
   48  140    6.7874
   48  160    6.7607
   60 -180    8.1632
   60 -160    8.1638
   60 -140    8.1726
   60 -120    8.2059
   60 -100    8.2799
   60  -80    8.3985
   60  -60    8.5475
   60  -40    8.6959
   60  -20    8.8058
   60    0    8.8463
   60   20    8.8058
   60   40    8.6959
   60   60    8.5475
   60   80    8.3985
   60  100    8.2799
   60  120    8.2059
   60  140    8.1726
   60  160    8.1638
   72 -180    10.627
   72 -160    10.615
   72 -140    10.592
   72 -120    10.583
   72 -100    10.618
   72  -80     10.71
   72  -60    10.848
   72  -40    10.997
   72  -20    11.113
   72    0    11.156
   72   20    11.113
   72   40    10.997
   72   60    10.848
   72   80     10.71
   72  100    10.618
   72  120    10.583
   72  140    10.592
   72  160    10.615
   84 -180    13.554
   84 -160    13.536
   84 -140    13.492
   84 -120    13.447
   84 -100    13.428
   84  -80    13.453
   84  -60    13.517
   84  -40      13.6
   84  -20    13.669
   84    0    13.695
   84   20    13.669
   84   40      13.6
   84   60    13.517
   84   80    13.453
   84  100    13.428
   84  120    13.447
   84  140    13.492
   84  160    13.536
570
    0 -180    5.2516
    0 -160    5.2516
    0 -140    5.2516
    0 -120    5.2516
    0 -100    5.2516
    0  -80    5.2516
    0  -60    5.2516
    0  -40    5.2516
    0  -20    5.2516
    0    0    5.2516
    0   20    5.2516
    0   40    5.2516
    0   60    5.2516
    0   80    5.2516
    0  100    5.2516
    0  120    5.2516
    0  140    5.2516
    0  160    5.2516
   12 -180    5.2278
   12 -160    5.2333
   12 -140    5.2494
   12 -120    5.2749
   12 -100    5.3074
   12  -80    5.3434
   12  -60    5.3787
   12  -40    5.4084
   12  -20    5.4284
   12    0    5.4354
   12   20    5.4284
   12   40    5.4084
   12   60    5.3787
   12   80    5.3434
   12  100    5.3074
   12  120    5.2749
   12  140    5.2494
   12  160    5.2333
   24 -180    5.3882
   24 -160    5.3972
   24 -140    5.4241
   24 -120    5.4684
   24 -100    5.5276
   24  -80    5.5966
   24  -60    5.6671
   24  -40    5.7285
   24  -20    5.7706
   24    0    5.7856
   24   20    5.7706
   24   40    5.7285
   24   60    5.6671
   24   80    5.5966
   24  100    5.5276
   24  120    5.4684
   24  140    5.4241
   24  160    5.3972
   36 -180    5.7946
   36 -160    5.8044
   36 -140    5.8351
   36 -120    5.8889
   36 -100    5.9661
   36  -80    6.0618
   36  -60    6.1644
   36  -40    6.2571
   36  -20     6.322
   36    0    6.3454
   36   20     6.322
   36   40    6.2571
   36   60    6.1644
   36   80    6.0618
   36  100    5.9661
   36  120    5.8889
   36  140    5.8351
   36  160    5.8044
   48 -180    6.5703
   48 -160    6.5776
   48 -140     6.603
   48 -120     6.654
   48 -100    6.7366
   48  -80    6.8487
   48  -60    6.9767
   48  -40    7.0975
   48  -20    7.1842
   48    0    7.2157
   48   20    7.1842
   48   40    7.0975
   48   60    6.9767
   48   80    6.8487
   48  100    6.7366
   48  120     6.654
   48  140     6.603
   48  160    6.5776
   60 -180    7.9561
   60 -160    7.9567
   60 -140     7.965
   60 -120    7.9968
   60 -100    8.0671
   60  -80    8.1799
   60  -60    8.3217
   60  -40    8.4628
   60  -20    8.5673
   60    0    8.6059
   60   20    8.5673
   60   40    8.4628
   60   60    8.3217
   60   80    8.1799
   60  100    8.0671
   60  120    7.9968
   60  140     7.965
   60  160    7.9567
   72 -180    10.392
   72 -160    10.381
   72 -140    10.359
   72 -120     10.35
   72 -100    10.384
   72  -80    10.471
   72  -60    10.603
   72  -40    10.746
   72  -20    10.857
   72    0    10.898
   72   20    10.857
   72   40    10.746
   72   60    10.603
   72   80    10.471
   72  100    10.384
   72  120     10.35
   72  140    10.359
   72  160    10.381
   84 -180    13.379
   84 -160    13.361
   84 -140    13.319
   84 -120    13.275
   84 -100    13.257
   84  -80    13.281
   84  -60    13.344
   84  -40    13.424
   84  -20     13.49
   84    0    13.516
   84   20     13.49
   84   40    13.424
   84   60    13.344
   84   80    13.281
   84  100    13.257
   84  120    13.275
   84  140    13.319
   84  160    13.361
580
    0 -180    5.1295
    0 -160    5.1295
    0 -140    5.1295
    0 -120    5.1295
    0 -100    5.1295
    0  -80    5.1295
    0  -60    5.1295
    0  -40    5.1295
    0  -20    5.1295
    0    0    5.1295
    0   20    5.1295
    0   40    5.1295
    0   60    5.1295
    0   80    5.1295
    0  100    5.1295
    0  120    5.1295
    0  140    5.1295
    0  160    5.1295
   12 -180    5.1102
   12 -160    5.1154
   12 -140    5.1308
   12 -120     5.155
   12 -100    5.1859
   12  -80    5.2202
   12  -60    5.2538
   12  -40    5.2821
   12  -20    5.3011
   12    0    5.3078
   12   20    5.3011
   12   40    5.2821
   12   60    5.2538
   12   80    5.2202
   12  100    5.1859
   12  120     5.155
